U0,U1,U4,DISTRICT,VILLAGE,PLACE_NAME
63,000,00,000,0000,臺北市
65,000,00,000,0000,新北市
68,000,00,000,0000,桃園市
66,000,00,000,0000,臺中市
67,000,00,000,0000,臺南市
64,000,00,000,0000,高雄市
10,004,00,000,0000,新竹縣
10,005,00,000,0000,苗栗縣
10,007,00,000,0000,彰化縣
10,008,00,000,0000,南投縣
10,009,00,000,0000,雲林縣
10,010,00,000,0000,嘉義縣
10,013,00,000,0000,屏東縣
10,002,00,000,0000,宜蘭縣
10,015,00,000,0000,花蓮縣
10,014,00,000,0000,臺東縣
10,016,00,000,0000,澎湖縣
10,017,00,000,0000,基隆市
10,018,00,000,0000,新竹市
10,020,00,000,0000,嘉義市
09,020,00,000,0000,金門縣
09,007,00,000,0000,連江縣
00,000,00,000,0000,全國
