city_county,township_city,village,issued_votes_2016,population_2016,dpp_over_kmt_rates_2008,dpp_over_kmt_rates_2012,dpp_over_kmt_rates_2016,changes_at_2012,changes_at_2016,fullvill
南投縣,中寮鄉,中寮村,372,662,-0.40856,-0.132196,0.153226,0.276364,0.285422,南投縣中寮鄉中寮村
南投縣,中寮鄉,內城村,267,458,-0.255591,-0.0684039,0.198502,0.187187,0.266906,南投縣中寮鄉內城村
南投縣,中寮鄉,八仙村,459,778,-0.0419847,-0.0281426,0.263617,0.0138422,0.291759,南投縣中寮鄉八仙村
南投縣,中寮鄉,和興村,372,661,-0.00666669,0.013363,0.314516,0.0200297,0.301153,南投縣中寮鄉和興村
南投縣,中寮鄉,崁頂村,286,486,-0.0867209,0.025974,0.311189,0.112695,0.285215,南投縣中寮鄉崁頂村
南投縣,中寮鄉,廣福村,346,507,0.0616622,0.15427,0.450867,0.0926078,0.296597,南投縣中寮鄉廣福村
南投縣,中寮鄉,廣興村,532,813,0.140962,0.233043,0.424812,0.0920816,0.191769,南投縣中寮鄉廣興村
南投縣,中寮鄉,復興村,176,292,-0.163043,0.0394089,0.306818,0.202452,0.267409,南投縣中寮鄉復興村
南投縣,中寮鄉,永和村,346,530,-0.215054,-0.0365535,0.277457,0.1785,0.31401,南投縣中寮鄉永和村
南投縣,中寮鄉,永平村,998,1699,-0.265418,-0.181672,0.211423,0.0837456,0.393095,南投縣中寮鄉永平村
南投縣,中寮鄉,永福村,774,1283,-0.196759,-0.10842,0.184755,0.0883394,0.293174,南投縣中寮鄉永福村
南投縣,中寮鄉,永芳村,274,461,-0.16129,-0.00584796,0.248175,0.155442,0.254023,南投縣中寮鄉永芳村
南投縣,中寮鄉,清水村,502,843,-0.205298,0.0125899,0.2251,0.217888,0.21251,南投縣中寮鄉清水村
南投縣,中寮鄉,爽文村,288,475,-0.0788043,-0.0255682,0.260417,0.0532361,0.285985,南投縣中寮鄉爽文村
南投縣,中寮鄉,福盛村,457,733,-0.147227,0.0854369,0.251641,0.232664,0.166204,南投縣中寮鄉福盛村
南投縣,中寮鄉,義和村,696,1027,-0.0597964,0.0547263,0.314655,0.114523,0.259929,南投縣中寮鄉義和村
南投縣,中寮鄉,龍安村,450,694,-0.0215687,0.127349,0.415556,0.148917,0.288207,南投縣中寮鄉龍安村
南投縣,中寮鄉,龍岩村,404,634,-0.131524,-0.0101215,0.316832,0.121403,0.326953,南投縣中寮鄉龍岩村
南投縣,仁愛鄉,中正村,467,831,-0.914019,-0.839768,-0.441114,0.0742503,0.398655,南投縣仁愛鄉中正村
南投縣,仁愛鄉,互助村,656,1032,-0.899329,-0.779762,-0.326219,0.119567,0.453542,南投縣仁愛鄉互助村
南投縣,仁愛鄉,力行村,256,473,-0.907216,-0.766423,-0.300781,0.140793,0.465642,南投縣仁愛鄉力行村
南投縣,仁愛鄉,南豐村,764,1189,-0.620238,-0.430303,0.0065445,0.189935,0.436848,南投縣仁愛鄉南豐村
南投縣,仁愛鄉,合作村,288,563,-0.827381,-0.757396,-0.354167,0.0699844,0.40323,南投縣仁愛鄉合作村
南投縣,仁愛鄉,大同村,919,1573,-0.633333,-0.508182,-0.168662,0.125152,0.33952,南投縣仁愛鄉大同村
南投縣,仁愛鄉,新生村,281,383,-0.926199,-0.886029,-0.498221,0.04017,0.387809,南投縣仁愛鄉新生村
南投縣,仁愛鄉,春陽村,515,899,-0.791988,-0.698541,-0.281553,0.0934464,0.416988,南投縣仁愛鄉春陽村
南投縣,仁愛鄉,榮興村,31,77,-0.723077,-0.716981,-0.129032,0.00609583,0.587949,南投縣仁愛鄉榮興村
南投縣,仁愛鄉,法治村,377,724,-0.873563,-0.822581,-0.458886,0.0509825,0.363695,南投縣仁愛鄉法治村
南投縣,仁愛鄉,發祥村,369,737,-0.877462,-0.73,-0.341463,0.147462,0.388537,南投縣仁愛鄉發祥村
南投縣,仁愛鄉,精英村,413,661,-0.850679,-0.73875,-0.234867,0.111929,0.503883,南投縣仁愛鄉精英村
南投縣,仁愛鄉,翠華村,191,504,-0.72028,-0.464789,-0.157068,0.255491,0.307721,南投縣仁愛鄉翠華村
南投縣,仁愛鄉,萬豐村,323,607,-0.84153,-0.730878,-0.448916,0.110652,0.281962,南投縣仁愛鄉萬豐村
南投縣,仁愛鄉,親愛村,623,1093,-0.894298,-0.793904,-0.280899,0.100393,0.513005,南投縣仁愛鄉親愛村
南投縣,仁愛鄉,都達村,264,599,,,-0.507576,,,南投縣仁愛鄉都達村
南投縣,信義鄉,人和村,623,1144,-0.71978,-0.62936,-0.258427,0.0904198,0.370934,南投縣信義鄉人和村
南投縣,信義鄉,同富村,844,1406,-0.167568,0.0411946,0.341232,0.208762,0.300038,南投縣信義鄉同富村
南投縣,信義鄉,地利村,487,839,-0.835664,-0.654174,-0.355236,0.181491,0.298938,南投縣信義鄉地利村
南投縣,信義鄉,愛國村,314,525,-0.298153,-0.147399,0.197452,0.150754,0.344851,南投縣信義鄉愛國村
南投縣,信義鄉,新鄉村,326,542,-0.692308,-0.620482,-0.374233,0.0718258,0.246249,南投縣信義鄉新鄉村
南投縣,信義鄉,明德村,874,1505,-0.329222,-0.255112,-0.00915331,0.0741101,0.245959,南投縣信義鄉明德村
南投縣,信義鄉,望美村,850,1418,-0.49046,-0.394044,-0.00235292,0.0964166,0.391691,南投縣信義鄉望美村
