U0,U1,U4,DISTRICT,VILLAGE,PLACE_NAME
63,000,00,120,0000,北投區
63,000,00,110,0000,士林區
63,000,00,060,0000,大同區
63,000,00,040,0000,中山區
63,000,00,010,0000,松山區
63,000,00,100,0000,內湖區
63,000,00,090,0000,南港區
63,000,00,070,0000,萬華區
63,000,00,050,0000,中正區
63,000,00,030,0000,大安區
63,000,00,020,0000,信義區
63,000,00,080,0000,文山區
65,000,00,220,0000,石門區
65,000,00,210,0000,三芝區
65,000,00,100,0000,淡水區
65,000,00,230,0000,八里區
65,000,00,170,0000,林口區
65,000,00,160,0000,泰山區
65,000,00,150,0000,五股區
65,000,00,140,0000,蘆洲區
65,000,00,020,0000,三重區
65,000,00,050,0000,新莊區
65,000,00,070,0000,樹林區
65,000,00,080,0000,鶯歌區
65,000,00,010,0000,板橋區
65,000,00,030,0000,中和區
65,000,00,040,0000,永和區
65,000,00,130,0000,土城區
65,000,00,090,0000,三峽區
65,000,00,060,0000,新店區
65,000,00,180,0000,深坑區
65,000,00,190,0000,石碇區
65,000,00,200,0000,坪林區
65,000,00,290,0000,烏來區
65,000,00,270,0000,金山區
65,000,00,280,0000,萬里區
65,000,00,110,0000,汐止區
65,000,00,240,0000,平溪區
65,000,00,120,0000,瑞芳區
65,000,00,250,0000,雙溪區
65,000,00,260,0000,貢寮區
68,000,00,050,0000,蘆竹區
68,000,00,070,0000,龜山區
68,000,00,010,0000,桃園區
68,000,00,060,0000,大園區
68,000,00,120,0000,觀音區
68,000,00,110,0000,新屋區
68,000,00,040,0000,楊梅區
68,000,00,020,0000,中壢區
68,000,00,100,0000,平鎮區
68,000,00,090,0000,龍潭區
68,000,00,080,0000,八德區
68,000,00,030,0000,大溪區
68,000,00,130,0000,復興區
66,000,00,110,0000,大甲區
66,000,00,220,0000,大安區
66,000,00,210,0000,外埔區
66,000,00,120,0000,清水區
66,000,00,140,0000,梧棲區
66,000,00,130,0000,沙鹿區
66,000,00,250,0000,龍井區
66,000,00,240,0000,大肚區
66,000,00,230,0000,烏日區
66,000,00,260,0000,霧峰區
66,000,00,280,0000,大里區
66,000,00,150,0000,后里區
66,000,00,160,0000,神岡區
66,000,00,180,0000,大雅區
66,000,00,170,0000,潭子區
66,000,00,060,0000,西屯區
66,000,00,070,0000,南屯區
66,000,00,080,0000,北屯區
66,000,00,050,0000,北區
66,000,00,040,0000,西區
66,000,00,010,0000,中區
66,000,00,020,0000,東區
66,000,00,030,0000,南區
66,000,00,270,0000,太平區
66,000,00,090,0000,豐原區
66,000,00,200,0000,石岡區
66,000,00,190,0000,新社區
66,000,00,100,0000,東勢區
66,000,00,290,0000,和平區
67,000,00,050,0000,後壁區
67,000,00,030,0000,白河區
67,000,00,170,0000,北門區
67,000,00,130,0000,學甲區
67,000,00,020,0000,鹽水區
67,000,00,010,0000,新營區
67,000,00,040,0000,柳營區
67,000,00,060,0000,東山區
67,000,00,160,0000,將軍區
67,000,00,080,0000,下營區
67,000,00,090,0000,六甲區
67,000,00,100,0000,官田區
67,000,00,150,0000,七股區
67,000,00,120,0000,佳里區
67,000,00,070,0000,麻豆區
67,000,00,190,0000,善化區
67,000,00,110,0000,大內區
67,000,00,230,0000,玉井區
67,000,00,240,0000,楠西區
67,000,00,140,0000,西港區
67,000,00,210,0000,安定區
67,000,00,200,0000,新市區
67,000,00,220,0000,山上區
67,000,00,180,0000,新化區
67,000,00,260,0000,左鎮區
67,000,00,250,0000,南化區
67,000,00,350,0000,安南區
67,000,00,340,0000,北區
67,000,00,370,0000,中西區
67,000,00,360,0000,安平區
67,000,00,330,0000,南區
67,000,00,320,0000,東區
67,000,00,310,0000,永康區
67,000,00,270,0000,仁德區
67,000,00,280,0000,歸仁區
67,000,00,290,0000,關廟區
67,000,00,300,0000,龍崎區
64,000,00,370,0000,桃源區
64,000,00,380,0000,那瑪夏區
64,000,00,330,0000,甲仙區
64,000,00,320,0000,六龜區
64,000,00,340,0000,杉林區
64,000,00,350,0000,內門區
64,000,00,300,0000,旗山區
64,000,00,310,0000,美濃區
64,000,00,360,0000,茂林區
64,000,00,230,0000,阿蓮區
64,000,00,220,0000,田寮區
64,000,00,210,0000,燕巢區
64,000,00,160,0000,大社區
64,000,00,150,0000,大樹區
64,000,00,260,0000,茄萣區
64,000,00,250,0000,湖內區
64,000,00,240,0000,路竹區
64,000,00,270,0000,永安區
64,000,00,190,0000,岡山區
64,000,00,280,0000,彌陀區
64,000,00,290,0000,梓官區
64,000,00,200,0000,橋頭區
64,000,00,040,0000,楠梓區
64,000,00,030,0000,左營區
64,000,00,170,0000,仁武區
64,000,00,180,0000,鳥松區
64,000,00,140,0000,大寮區
64,000,00,130,0000,林園區
64,000,00,020,0000,鼓山區
64,000,00,010,0000,鹽埕區
64,000,00,100,0000,旗津區
64,000,00,050,0000,三民區
64,000,00,070,0000,前金區
64,000,00,060,0000,新興區
64,000,00,080,0000,苓雅區
64,000,00,090,0000,前鎮區
64,000,00,120,0000,鳳山區
64,000,00,110,0000,小港區
10,004,00,010,0000,竹北市
10,004,00,020,0000,竹東鎮
10,004,00,030,0000,新埔鎮
10,004,00,040,0000,關西鎮
10,004,00,050,0000,湖口鄉
10,004,00,060,0000,新豐鄉
10,004,00,070,0000,芎林鄉
10,004,00,080,0000,橫山鄉
10,004,00,090,0000,北埔鄉
10,004,00,100,0000,寶山鄉
10,004,00,110,0000,峨眉鄉
10,004,00,120,0000,尖石鄉
10,004,00,130,0000,五峰鄉
10,005,00,040,0000,竹南鎮
10,005,00,150,0000,造橋鄉
10,005,00,060,0000,後龍鎮
10,005,00,140,0000,西湖鄉
10,005,00,030,0000,通霄鎮
10,005,00,100,0000,銅鑼鄉
10,005,00,020,0000,苑裡鎮
10,005,00,130,0000,三義鄉
10,005,00,050,0000,頭份市
10,005,00,160,0000,三灣鄉
10,005,00,110,0000,南庄鄉
10,005,00,010,0000,苗栗市
10,005,00,120,0000,頭屋鄉
10,005,00,170,0000,獅潭鄉
10,005,00,090,0000,公館鄉
10,005,00,080,0000,大湖鄉
10,005,00,180,0000,泰安鄉
10,005,00,070,0000,卓蘭鎮
10,007,00,050,0000,伸港鄉
10,007,00,040,0000,線西鄉
10,007,00,030,0000,和美鎮
10,007,00,020,0000,鹿港鎮
10,007,00,060,0000,福興鄉
10,007,00,070,0000,秀水鄉
10,007,00,010,0000,彰化市
10,007,00,080,0000,花壇鄉
10,007,00,090,0000,芬園鄉
10,007,00,230,0000,芳苑鄉
10,007,00,200,0000,二林鎮
10,007,00,140,0000,埔鹽鄉
10,007,00,110,0000,溪湖鎮
10,007,00,150,0000,埔心鄉
10,007,00,240,0000,大城鄉
10,007,00,250,0000,竹塘鄉
10,007,00,220,0000,埤頭鄉
10,007,00,190,0000,北斗鎮
10,007,00,260,0000,溪州鄉
10,007,00,130,0000,大村鄉
10,007,00,100,0000,員林市
10,007,00,160,0000,永靖鄉
